"","DENINumber","InstitutionName","NoOfChildrenInFundedPlaces","TotalPupils","FullTimePupils","PartTimePupils","NurseryPupils","ReceptionPupils","Year1","Year2","Year3","Year4","Year5","Year6","Year7","Year8","Year9","Year10","Year11","Year12","Year13","Year14","NoOfBoys","NoOfGirls","AddressLine1","AddressLine2","AddressLine3","Town","County","Postcode","Telephone","Management","InstitutionType","Status","DateClosed","Email","DENINumberHyphen"
"910","4010885","Tonagh Primary School",NA,231,NA,NA,26,0,28,30,30,30,30,32,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TONAGH AVENUE",NA,NA,"LISBURN","ANTRIM","BT28 1DQ","028 9266 4491","Controlled","Primary","Open",NA,"info@tonaghps.lisburn.ni.sch.uk","401-0885"
"911","4011265","Ballyvester Primary School",NA,111,NA,NA,0,0,15,17,18,11,18,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"244 KILLAUGHEY ROAD",NA,NA,"DONAGHADEE","DOWN","BT21 0NF","028 9188 2121","Controlled","Primary","Open",NA,"info@ballyvesterps.donaghadee.ni.sch.uk","401-1265"
"912","4011300","Grey Abbey Primary School",NA,84,NA,NA,0,0,16,12,14,8,9,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 THE SQUARE","GREYABBEY",NA,"NEWTOWNARDS","DOWN","BT22 2QA","028 4278 8244","Controlled","Primary","Open",NA,"info@greyabbeyps.newtownards.ni.sch.uk","401-1300"
"913","4011310","Carrickmannon Primary School",NA,93,NA,NA,0,0,9,17,12,10,17,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77 CARRICKMANNON ROAD",NA,NA,"NEWTOWNARDS","DOWN","BT23 6JJ","028 9752 8713","Controlled","Primary","Open",NA,"info@carrickmannonps.newtownards.ni.sch.uk","401-1310"
"914","4011345","Newtownards Model Primary School",NA,403,NA,NA,0,0,58,55,58,59,57,57,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCRABO ROAD",NA,NA,"NEWTOWNARDS","DOWN","BT23 4NW","028 9181 2113","Controlled","Primary","Open",NA,"info@ardsmodelps.newtownards.ni.sch.uk","401-1345"
"915","4011373","Kirkistown Primary School",NA,73,NA,NA,0,2,10,10,9,8,13,6,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAIN ROAD","CLOUGHEY",NA,"NEWTOWNARDS","DOWN","BT22 1JA","028 4277 1455","Controlled","Primary","Open",NA,"info@kirkistownps.newtownards.ni.sch.uk","401-1373"
"916","4011462","Castle Gardens Primary School",NA,318,NA,NA,0,0,44,57,52,40,49,42,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69 BOWTOWN ROAD",NA,NA,"NEWTOWNARDS","DOWN","BT23 8SH","028 9181 3827","Controlled","Primary","Open",NA,"info@castlegdns.newtownards.ni.sch.uk","401-1462"
"917","4011488","Victoria Primary School (Ballyhalbert)",NA,141,NA,NA,0,0,15,20,16,25,20,24,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 VICTORIA ROAD","BALLYHALBERT",NA,"NEWTOWNARDS","DOWN","BT22 1DQ","028 4275 8350","Controlled","Primary","Open",NA,"info@vicpsballyhalbert.newtownards.ni.sch.uk","401-1488"
"918","4011507","Portavogie Primary School",NA,244,NA,NA,47,0,30,30,19,30,29,30,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEW HARBOUR ROAD","PORTAVOGIE",NA,"NEWTOWNARDS","DOWN","BT22 1EE","028 4277 1771","Controlled","Primary","Open",NA,"info@portavogieps.newtownards.ni.sch.uk","401-1507"
"919","4011566","Ballywalter Primary School",NA,177,NA,NA,0,0,26,18,28,25,27,25,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12 STUMP ROAD","BALLYWALTER",NA,"NEWTOWNARDS","DOWN","BT22 2NT","028 4275 8486","Controlled","Primary","Open",NA,"info@ballywalterps.newtownards.ni.sch.uk","401-1566"
"920","4011567","Ballynahinch Primary School",NA,219,NA,NA,26,0,34,29,22,26,26,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CROOB PARK",NA,NA,"BALLYNAHINCH","DOWN","BT24 8BB","028 9756 3171","Controlled","Primary","Open",NA,"info@ballynahinchps.ballynahinch.ni.sch.uk","401-1567"
"921","4011578","Derryboy Primary School",NA,61,NA,NA,0,0,15,11,9,5,7,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20 MANSE ROAD",NA,NA,"CROSSGAR","DOWN","BT30 9LY","028 4483 0849","Controlled","Primary","Open",NA,"info@derryboyps.downpatrick.ni.sch.uk","401-1578"
"922","4011584","Carr Primary School",NA,77,NA,NA,0,0,14,8,17,13,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"336 COMBER ROAD",NA,NA,"LISBURN","ANTRIM","BT27 6TB","028 9263 8615","Controlled","Primary","Open",NA,"info@carrps.lisburn.ni.sch.uk","401-1584"
"923","4011587","Dundonald Primary School",NA,850,NA,NA,52,0,120,114,117,112,115,116,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 CHURCH GREEN",NA,NA,"BELFAST","ANTRIM","BT16 2LP","028 9048 2680","Controlled","Primary","Open",NA,"info@ddps.belfast.ni.sch.uk","401-1587"
"924","4011588","Comber Primary School",NA,379,NA,NA,52,0,48,43,48,44,46,50,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DARRAGH ROAD","COMBER",NA,"NEWTOWNARDS","DOWN","BT23 5BX","028 9187 2197","Controlled","Primary","Open",NA,"info@comberps.newtownards.ni.sch.uk","401-1588"
"925","4011606","Gilnahirk Primary School",NA,413,NA,NA,0,0,60,60,60,54,58,60,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"148 GILNAHIRK ROAD",NA,NA,"BELFAST","ANTRIM","BT5 7QQ","028 9040 1697","Controlled","Primary","Open",NA,"info@ghirkps.belfast.ni.sch.uk","401-1606"
"926","4011608","Anahilt Primary School",NA,135,NA,NA,0,0,20,19,20,16,20,16,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"248 BALLYNAHINCH ROAD",NA,NA,"HILLSBOROUGH","DOWN","BT26 6BP","028 9263 8557","Controlled","Primary","Open",NA,"info@anahiltps.hillsborough.ni.sch.uk","401-1608"
"927","4011619","Dromara Primary School",NA,178,NA,NA,0,0,26,28,19,24,29,23,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36 HILLSBOROUGH ROAD",NA,NA,"DROMARA","DOWN","BT25 2BL","028 9753 2875","Controlled","Primary","Open",NA,"info@dromaraps.dromore.ni.sch.uk","401-1619"
"928","4011631","Holywood Primary School",NA,474,NA,NA,0,0,68,66,61,71,61,84,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HILLVIEW PLACE",NA,NA,"HOLYWOOD","DOWN","BT18 9DL","028 9042 4272","Controlled","Primary","Open",NA,"info@holywoodps.holywood.ni.sch.uk","401-1631"
"929","4011632","Cregagh Primary School",NA,165,NA,NA,0,0,22,16,21,30,27,26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOUNT MERRION AVENUE",NA,NA,"BELFAST","ANTRIM","BT6 0FL","028 9040 1246","Controlled","Primary","Open",NA,"info@cregaghps.belfast.ni.sch.uk","401-1632"
"930","4011645","Crawfordsburn Primary School",NA,207,NA,NA,0,0,32,29,30,29,32,31,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 COOTEHALL ROAD","CRAWFORDSBURN",NA,"BANGOR","DOWN","BT19 1JA","028 9185 3813","Controlled","Primary","Open",NA,"info@crawfordsburnps.bangor.ni.sch.uk","401-1645"
"931","4011646","Victoria Primary School",NA,532,NA,NA,0,0,82,76,64,74,78,85,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EAST STREET",NA,NA,"NEWTOWNARDS","DOWN","BT23 7DD","028 9181 8783","Controlled","Primary","Open",NA,"info@victoriaps.newtownards.ni.sch.uk","401-1646"
"932","4011650","Ballyholme Primary School",NA,625,NA,NA,0,0,91,87,93,85,89,91,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLENBURN PARK",NA,NA,"BANGOR","DOWN","BT20 5RG","028 9127 0392","Controlled","Primary","Open",NA,"info@ballyholmeps.bangor.ni.sch.uk","401-1650"
"933","4011654","Donaghadee Primary School",NA,439,NA,NA,51,0,55,53,59,60,59,56,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTHFIELD ROAD",NA,NA,"DONAGHADEE","DOWN","BT21 0BD","028 9188 3452","Controlled","Primary","Open",NA,"info@donaghadeeps.newtownards.ni.sch.uk","401-1654"
"934","4011657","Lisnasharragh Primary School",NA,368,NA,NA,0,0,59,52,52,44,55,57,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TUDOR DRIVE",NA,NA,"BELFAST","ANTRIM","BT6 9LS","028 9040 1211","Controlled","Primary","Open",NA,"info@lisps.belfast.ni.sch.uk","401-1657"
"935","4011670","Clandeboye Primary School",NA,347,NA,NA,0,0,44,43,57,43,45,59,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLANDEBOYE ROAD",NA,NA,"BANGOR","DOWN","BT20 3JW","028 9127 1730","Controlled","Primary","Open",NA,"info@clandeboyeps.bangor.ni.sch.uk","401-1670"
"936","4011674","Knockbreda Primary School",NA,157,NA,NA,0,0,12,16,16,22,24,33,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WYNCHURCH ROAD","KNOCKBREDA",NA,"BELFAST","ANTRIM","BT6 0JJ","028 9040 1871","Controlled","Primary","Open",NA,"info@knockbredaps.belfast.ni.sch.uk","401-1674"
"937","4011681","Millisle Primary School",NA,218,NA,NA,26,0,30,21,32,29,22,30,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABBEY ROAD","MILLISLE",NA,"NEWTOWNARDS","DOWN","BT22 2DD","028 9186 1471","Controlled","Primary","Open",NA,"info@millisleps.newtownards.ni.sch.uk","401-1681"
"938","4011683","Braniel Primary School",NA,453,NA,NA,72,0,59,50,61,43,54,54,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAVENSWOOD PARK",NA,NA,"BELFAST","ANTRIM","BT5 7JU","028 9040 1234","Controlled","Primary","Open",NA,"info@branielps.belfast.ni.sch.uk","401-1683"
"939","4011698","Newcastle Primary School",NA,203,NA,NA,52,0,28,23,17,22,28,20,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SHIMNA ROAD",NA,NA,"NEWCASTLE","DOWN","BT33 0AS","028 4372 2559","Controlled","Primary","Open",NA,"info@newcastleps.newcastle.ni.sch.uk","401-1698"
"940","4011699","Moneyrea Primary School",NA,244,NA,NA,30,0,32,32,31,31,32,30,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36 CHURCH ROAD","MONEYREA",NA,"NEWTOWNARDS","DOWN","BT23 6BB","028 9044 8443","Controlled","Primary","Open",NA,"info@moneyreaps.newtownards.ni.sch.uk","401-1699"
"941","4013013","Belvoir Park Primary School",NA,262,NA,NA,47,0,19,38,32,32,28,32,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BELVOIR DRIVE",NA,NA,"BELFAST","ANTRIM","BT8 7DL","028 9049 1810","Controlled","Primary","Open",NA,"info@belvoirps.belfast.ni.sch.uk","401-3013"
"942","4013023","Bloomfield Primary School",NA,461,NA,NA,52,0,59,55,51,57,63,62,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLOOMFIELD ROAD SOUTH",NA,NA,"BANGOR","DOWN","BT19 7PN","028 9127 1186","Controlled","Primary","Open",NA,"info@bloomfieldps.bangor.ni.sch.uk","401-3023"
"943","4013024","Cairnshill Primary School",NA,566,NA,NA,52,0,64,72,63,70,83,88,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6A CAIRNSHILL DRIVE",NA,NA,"BELFAST","ANTRIM","BT8 6RT","028 9070 5122","Controlled","Primary","Open",NA,"info@cairnshillps.belfast.ni.sch.uk","401-3024"
"944","4013043","Lead Hill Primary School",NA,171,NA,NA,0,0,23,29,20,22,28,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"945","4013044","Carryduff Primary School",NA,170,NA,NA,0,0,22,19,23,24,27,28,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KILLYNURE ROAD","CARRYDUFF",NA,"BELFAST","ANTRIM","BT8 8EE","028 9081 2918","Controlled","Primary","Open",NA,"info@carryduffps.belfast.ni.sch.uk","401-3044"
"946","4013045","Grange Park Primary School",NA,405,NA,NA,0,0,59,50,60,56,61,60,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GRANGE PARK",NA,NA,"BANGOR","DOWN","BT20 3QG","028 9127 1181","Controlled","Primary","Open",NA,"info@grangeparkps.bangor.ni.sch.uk","401-3045"
"947","4013046","Alexander Dickson Primary School",NA,91,NA,NA,0,0,13,12,10,17,12,19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COMBER ROAD","BALLYGOWAN",NA,"NEWTOWNARDS","DOWN","BT23 5TN","028 9752 8651","Controlled","Primary","Open",NA,"info@adps.newtownards.ni.sch.uk","401-3046"
"948","4013305","Harmony Hill Primary School",NA,648,NA,NA,52,0,90,89,72,89,83,89,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50 HARMONY HILL",NA,NA,"LISBURN","ANTRIM","BT27 4ES","028 9266 4501","Controlled","Primary","Open",NA,"info@harmonyhillps.lisburn.ni.sch.uk","401-3305"
"949","4013334","Knockmore Primary School",NA,241,NA,NA,0,0,27,33,32,43,38,41,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HERTFORD CRESCENT",NA,NA,"LISBURN","ANTRIM","BT28 1SA","028 9266 2600","Controlled","Primary","Open",NA,"info@knockmoreps.lisburn.ni.sch.uk","401-3334"
"950","4016002","Kilcooley Primary School",NA,175,NA,NA,26,0,23,16,25,19,20,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GANAWAY AVENUE",NA,NA,"BANGOR","DOWN","BT19 1QS","028 9127 0140","Controlled","Primary","Open",NA,"info@kilcooleyps.bangor.ni.sch.uk","401-6002"
"951","4016004","Londonderry Primary School",NA,412,NA,NA,0,0,61,60,60,60,59,57,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A GLENBROOK ROAD",NA,NA,"NEWTOWNARDS","DOWN","BT23 4EY","028 9181 4325","Controlled","Primary","Open",NA,"info@lderryps.newtownards.ni.sch.uk","401-6004"
"952","4016020","Carrowdore Primary School",NA,167,NA,NA,0,0,18,28,30,23,23,22,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CASTLE PLACE",NA,NA,"CARROWDORE","DOWN","BT22 2JJ","028 9186 2791","Controlled","Primary","Open",NA,"info@carrowdoreps.newtownards.ni.sch.uk","401-6020"
"953","4016067","Rathmore Primary School",NA,632,NA,NA,52,0,84,79,77,83,85,89,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RATHMORE ROAD",NA,NA,"BANGOR","DOWN","BT19 1DJ","028 9127 0399","Controlled","Primary","Open",NA,"info@rathmoreps.bangor.ni.sch.uk","401-6067"
"954","4016083","West Winds Primary School",NA,177,NA,NA,26,0,14,19,22,21,25,21,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"955","4016104","Moira Primary School",NA,395,NA,NA,26,0,60,48,44,54,51,57,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21 BACKWOOD ROAD",NA,NA,"MOIRA","DOWN","BT67 0LJ","028 9261 1554","Controlled","Primary","Open",NA,"info@moiraps.lisburn.ni.sch.uk","401-6104"
"956","4016111","Towerview Primary School",NA,460,NA,NA,52,0,58,59,60,59,61,60,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100 TOWERVIEW CRESCENT",NA,NA,"BANGOR","DOWN","BT19 6AZ","028 9127 0480","Controlled","Primary","Open",NA,"info@towerviewps.bangor.ni.sch.uk","401-6111"
"957","4016123","Spa Primary School",NA,200,NA,NA,0,0,30,29,27,30,29,32,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59 BALLYMAGLAVE ROAD",NA,NA,"BALLYNAHINCH","DOWN","BT24 8QB","028 9756 3842","Controlled","Primary","Open",NA,"info@spaps.ballynahinch.ni.sch.uk","401-6123"
"958","4016126","Andrews Memorial Primary School",NA,361,NA,NA,0,0,53,60,47,53,42,50,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 BALLYGOWAN ROAD","COMBER",NA,"NEWTOWNARDS","DOWN","BT23 5PG","028 9187 2075","Controlled","Primary","Open",NA,"info@andrewsmemorialps.newtownards.ni.sch.uk","401-6126"
"959","4016144","Old Warren Primary School",NA,167,NA,NA,26,0,18,22,18,16,26,24,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"147 DRUMBEG DRIVE","OLD WARREN",NA,"LISBURN","ANTRIM","BT28 1QP","028 9267 9685","Controlled","Primary","Open",NA,"info@oldwarrenps.lisburn.ni.sch.uk","401-6144"
"960","4016145","Killowen Primary School",NA,444,NA,NA,52,0,44,53,51,60,61,64,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20 LAURELHILL ROAD",NA,NA,"LISBURN","ANTRIM","BT28 2UH","028 9266 2111","Controlled","Primary","Open",NA,"info@killowenps.lisburn.ni.sch.uk","401-6145"
"961","4016192","Kilmaine Primary School",NA,667,NA,NA,51,0,83,82,90,88,90,90,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 LYNDALE DRIVE",NA,NA,"BANGOR","DOWN","BT19 6EF","028 9127 0893","Controlled","Primary","Open",NA,"info@kilmaineps.bangor.ni.sch.uk","401-6192"
"962","4016201","Academy Primary School",NA,457,NA,NA,52,0,46,60,63,53,63,59,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"194 LISTOODER ROAD",NA,NA,"SAINTFIELD","DOWN","BT24 7JA","028 9751 0407","Controlled","Primary","Open",NA,"info@academyps.ballynahinch.ni.sch.uk","401-6201"
"963","4016202","Ballinderry Primary School",NA,276,NA,NA,26,0,35,34,36,40,40,29,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8D CRUMLIN ROAD","BALLINDERRY",NA,"LISBURN","ANTRIM","BT28 2BF","028 9265 1633","Controlled","Primary","Open",NA,"info@ballinderryps.lisburn.ni.sch.uk","401-6202"
"964","4016235","Downpatrick Primary School",NA,211,NA,NA,0,0,39,25,24,28,33,30,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 MOUNT CRESCENT",NA,NA,"DOWNPATRICK","DOWN","BT30 6AF","028 4461 3934","Controlled","Primary","Open",NA,"info@dps.downpatrick.ni.sch.uk","401-6235"
"965","4016396","Killinchy Primary School",NA,355,NA,NA,0,0,46,50,46,51,54,61,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAIN STREET","KILLINCHY",NA,"NEWTOWNARDS","DOWN","BT23 6PN","028 9754 1132","Controlled","Primary","Open",NA,"info@killinchyps.newtownards.ni.sch.uk","401-6396"
"966","4016399","Abbey Primary School",NA,605,NA,NA,48,0,88,88,68,78,85,79,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90 MOVILLA ROAD",NA,NA,"NEWTOWNARDS","DOWN","BT23 8RQ","028 9181 9141","Controlled","Primary","Open",NA,"info@abbeyprimary.newtownards.ni.sch.uk","401-6399"
"967","4016401","Pond Park Primary School",NA,627,NA,NA,0,0,90,89,90,90,90,90,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63 POND PARK ROAD",NA,NA,"LISBURN","ANTRIM","BT28 3BF","028 9267 6992","Controlled","Primary","Open",NA,"info@pondparkps.lisburn.ni.sch.uk","401-6401"
"968","4016417","Maghaberry Primary School",NA,306,NA,NA,51,0,36,40,38,40,34,36,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17A MAGHABERRY ROAD","MOIRA",NA,"CRAIGAVON","ARMAGH","BT67 0JE","028 9261 1529","Controlled","Primary","Open",NA,"info@maghaberryps.lisburn.ni.sch.uk","401-6417"
"969","4016430","Ballymagee Primary School",NA,430,NA,NA,26,0,61,57,58,57,55,59,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77 ASHBURY AVENUE",NA,NA,"BANGOR","DOWN","BT19 6ZG","028 9147 2324","Controlled","Primary","Open",NA,"info@ballymagee.bangor.ni.sch.uk","401-6430"
"970","4016441","Ballymacash Primary School",NA,454,NA,NA,52,0,53,60,60,57,58,60,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 BROKERSTOWN ROAD",NA,NA,"LISBURN","ANTRIM","BT28 2EE","028 9266 4244","Controlled","Primary","Open",NA,"info@ballymacashps.lisburn.ni.sch.uk","401-6441"
"971","4016503","Brooklands Primary School",NA,564,NA,NA,78,0,64,71,77,57,66,69,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A BROOKLANDS AVENUE","DUNDONALD",NA,"BELFAST","ANTRIM","BT16 2PA","028 9048 7589","Controlled","Primary","Open",NA,"info@brooklandsps.belfast.ni.sch.uk","401-6503"
"972","4016615","Riverdale Primary School",NA,206,NA,NA,0,0,30,29,30,29,28,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"288 BALLYNAHINCH ROAD",NA,NA,"LISBURN","ANTRIM","BT27 5LX","028 9263 4243","Controlled","Primary","Open",NA,"info@riverdale.lisburn.ni.sch.uk","401-6615"
"973","4016636","Meadow Bridge Primary School",NA,291,NA,NA,0,0,34,42,41,42,47,39,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 LANY ROAD",NA,NA,"HILLSBOROUGH","DOWN","BT26 6JR","028 9262 2509","Controlled","Primary","Open",NA,"info@mbps.lisburn.ni.sch.uk","401-6636"
"974","4016649","Downshire Primary School Hillsborough",NA,636,NA,NA,52,0,80,75,83,83,87,88,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 BALLYNAHINCH ROAD",NA,NA,"HILLSBOROUGH","DOWN","BT26 6AR","028 92680640","Controlled","Primary","Open",NA,"info@dps.hillsborough.ni.sch.uk","401-6649"
"975","4016650","Cumran Primary School",NA,214,NA,NA,0,0,34,23,32,36,32,26,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17 THE SQUARE","CLOUGH","DOWNPATRICK","DOWNPATRICK","DOWN","BT30 8RB","4481 1352","Controlled","Primary","Open",NA,"info@cumran.clough.ni.sch.uk","401-6650"
"976","4016681","Glasswater Primary School",NA,100,NA,NA,0,0,15,14,10,16,17,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 John Street","Crossgar",NA,"DOWNPATRICK","DOWN","BT30 9EG","028 44830512","Controlled","Primary","Open",NA,"info@glasswaterps.crossgar.ni.sch.uk","401-6681"
"977","4030573","Ballymacward Primary School",NA,85,NA,NA,0,0,17,7,11,15,10,20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22 ROCK ROAD",NA,NA,"LISBURN","ANTRIM","BT28 3SU","028 9264 8130","Roman Catholic Maintained","Primary","Open",NA,"info@ballymacwardps.lisburn.ni.sch.uk","403-0573"
"978","4030823","Ballymacrickett Primary School",NA,394,NA,NA,26,0,35,54,44,60,55,63,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44 SCROGGY ROAD","GLENAVY",NA,"CRUMLIN","ANTRIM","BT29 4NE","028  9442 2708","Roman Catholic Maintained","Primary","Open",NA,"info@ballymacrickettps.lisburn.ni.sch.uk","403-0823"
"979","4030897","St Joseph's Primary School",NA,398,NA,NA,0,0,53,59,59,48,60,60,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42 CASTLE STREET",NA,NA,"LISBURN","ANTRIM","BT27 4XE","028 9267 4901","Roman Catholic Maintained","Primary","Open",NA,"info@stjosephsps.lisburn.ni.sch.uk","403-0897"
"980","4031231","St Joseph's Primary School",NA,37,NA,NA,0,0,9,4,4,4,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45 BALLYCRUTTLE ROAD",NA,NA,"DOWNPATRICK","DOWN","BT30 7EL","028 4484 1546","Roman Catholic Maintained","Primary","Open",NA,"info@stjosephspsardglass.downpatrick.ni.sch.uk","403-1231"
"981","4031328","Christ the King Primary School",NA,73,NA,NA,0,0,12,8,7,12,12,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 DRUMSNADE ROAD",NA,NA,"BALLYNAHINCH","DOWN","BT24 8NG","028 9756 5193","Roman Catholic Maintained","Primary","Open",NA,"info@christtheking.ballynahinch.ni.sch.uk","403-1328"
"982","4031350","St Malachy's Primary School",NA,53,NA,NA,0,0,6,3,7,9,8,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 KILCLIEF ROAD","STRANGFORD",NA,"DOWNPATRICK","DOWN","BT30 7PA","028 4488 1477","Roman Catholic Maintained","Primary","Open",NA,"info@stmalachyspskilclief.downpatrick.ni.sch.uk","403-1350"
"983","4031485","St Caolan's Primary School",NA,80,NA,NA,0,0,14,9,12,13,14,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 DARRAGH CROSS","SAINTFIELD",NA,"BALLYNAHINCH","DOWN","BT24 7EQ","028 9751 0757","Roman Catholic Maintained","Primary","Open",NA,"info@darraghcrossps.ballynahinch.ni.sch.uk","403-1485"
"984","4031526","St Patrick's Primary School",NA,181,NA,NA,0,0,24,23,28,27,26,29,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 ST PATRICK'S ROAD","SAUL",NA,"DOWNPATRICK","DOWN","BT30 7JQ","028 4461 4145","Roman Catholic Maintained","Primary","Open",NA,"info@stpatrickspssaul.downpatrick.ni.sch.uk","403-1526"
"985","4031531","St Francis' Primary School",NA,91,NA,NA,0,0,15,11,17,8,15,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18 CHAPEL LANE",NA,NA,"CASTLEWELLAN","DOWN","BT31 9PQ","028 4481 1450","Roman Catholic Maintained","Primary","Open",NA,"info@drumaroadps.castlewellan.ni.sch.uk","403-1531"
"986","4031550","St Joseph's Primary School",NA,122,NA,NA,0,0,26,17,22,9,21,18,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 BALLYNAHINCH ROAD",NA,NA,"CROSSGAR","DOWN","BT30 9HS","028 4483 0810","Roman Catholic Maintained","Primary","Open",NA,"info@stjosephspscrossgar.downpatrick.ni.sch.uk","403-1550"
"987","4031628","St Patrick's Primary School",NA,293,NA,NA,0,0,33,42,46,38,41,42,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHURCH VIEW",NA,NA,"HOLYWOOD","DOWN","BT18 9LN","02890-42 4772","Roman Catholic Maintained","Primary","Open",NA,"info@stpatsps.holywood.ni.sch.uk","403-1628"
"988","4031660","St Joseph's Primary School",NA,525,NA,NA,61,0,63,65,85,66,61,63,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 KNOCKBRACKEN DRIVE","SAINTFIELD ROAD, CARRYDUFF",NA,"BELFAST","ANTRIM","BT8 8EX","028 9081 3523","Roman Catholic Maintained","Primary","Open",NA,"info@stjosephscarryduff.belfast.ni.sch.uk","403-1660"
"989","4031662","St Mary's Primary School",NA,90,NA,NA,0,0,15,8,16,8,20,16,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KILLINCHY STREET","COMBER",NA,"NEWTOWNARDS","DOWN","BT23 5AP","028 9187 2777","Roman Catholic Maintained","Primary","Open",NA,"info@stmaryspscomber.newtownards.ni.sch.uk","403-1662"
